"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
287;"Kieran Trippier";"Newcastle United";25;1311;0;3;0.16;1.81;0.01;0.12
288;"Ben Davies";"Tottenham";17;1325;0;0;0.36;0.1;0.02;0.01
289;"Idrissa Gueye";"Everton";37;3090;0;3;1.04;2.42;0.03;0.07
290;"Willian";"Fulham";10;240;0;0;0.26;0.3;0.1;0.11
291;"Lukasz Fabianski";"West Ham";14;1157;0;0;0;0;0;0
292;"Jordan Pickford";"Everton";38;3420;0;1;0;0.28;0;0.01
293;"Jeffrey Schlupp";"Crystal Palace";12;72;0;0;0.21;0.33;0.26;0.42
294;"Craig Dawson";"Wolverhampton Wanderers";15;950;0;0;0.41;0.07;0.04;0.01
295;"Jonny Evans";"Manchester United";7;306;0;0;0.08;0;0.02;0
296;"Adam Smith";"Bournemouth";25;1625;0;0;0.33;0.44;0.02;0.02
297;"Fraser Forster";"Tottenham";7;630;0;0;0;0;0;0
298;"Matt Targett";"Newcastle United";2;12;0;0;0;0;0;0
299;"Kyle Walker-Peters";"Southampton";33;2934;0;2;1.16;2.8;0.04;0.09
300;"Harrison Reed";"Fulham";12;81;0;0;0.14;0.08;0.16;0.09
301;"Axel Tuanzebe";"Ipswich";22;1731;0;1;0.35;0.63;0.02;0.03
302;"Harry Winks";"Leicester";22;1532;0;2;0.19;1.33;0.01;0.08
303;"Sam Johnstone";"Wolverhampton Wanderers";7;630;0;0;0;0.05;0;0.01
304;"Mason Holgate";"Everton";1;1;0;0;0;0;0;0
305;"Joseph Gomez";"Liverpool";9;510;0;0;0.37;0.08;0.07;0.01
306;"Luke Shaw";"Manchester United";7;352;0;0;0.03;0.56;0.01;0.14
307;"Tyrone Mings";"Aston Villa";14;1137;0;0;0.8;0.18;0.06;0.01
308;"Alex Palmer";"Ipswich";13;1170;0;0;0;0.02;0;0
309;"Alisson";"Liverpool";28;2511;0;0;0;0.5;0;0.02
310;"Neto";"Bournemouth";2;180;0;0;0;0;0;0
311;"Jorginho";"Arsenal";15;717;0;0;0.06;0.46;0.01;0.06
312;"Federico Chiesa";"Liverpool";6;95;0;0;0.61;0.21;0.58;0.2
313;"Sasa Lukic";"Fulham";30;2380;0;2;1.54;3.1;0.06;0.12
